Rank,Fund Name,Fund House,Category,Scheme Code,Recommendation Score,NAV,NAV Date,1Y Return %,3Y Return %,5Y Return %,10Y Return %,AUM (Cr),Expense Ratio %,VR Rating (Stars),Volatility %,Sharpe Ratio,Alpha %,Beta,Notes
1,HDFC Mid Cap Fund - Growth Plan,HDFC Mutual Fund,Mid Cap,105758,64.37,202.39,2025-12-24,7.07%,26.12%,25.73%,18.15%,"94,257",1.36%,5,13.02,0.89,5.20%,0.85,Top scorer -- strong mid-cap with consistent long-term returns
2,Bandhan Large & Mid Cap Fund - Direct Plan Growth,Bandhan Mutual Fund,Large+Mid,118419,63.13,162.79,2025-12-12,8.50%,23.80%,23.80%,17.93%,"14,780",0.53%,N/A,13.22,1.34,6.70%,1.02,Solid large+mid cap blend with good multi-year returns
3,HDFC Flexi Cap Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Flexi-Cap,118955,61.89,"2,272.78",2025-12-12,9.00%,22.10%,28.40%,17.55%,"85,560",0.70%,5,10.67,0.27,-3.82%,N/A,Largest AUM (85K Cr). 5-star. Excellent 5Y return of 28.4%
4,JM Flexicap Fund (Direct) - Growth Option,JM Financial Mutual Fund,Flexi-Cap,120492,60.53,110.96,2025-12-12,-6.00%,22.10%,25.60%,18.15%,"5,159",0.62%,4,14.75,1.02,3.34%,1.05,Negative 1Y but strong 5Y/10Y. Low expense ratio.
5,Parag Parikh Flexi Cap Fund - Direct Plan Growth,PPFAS Mutual Fund,Flexi-Cap,122639,60.28,94.76,2025-12-12,8.00%,21.50%,21.20%,18.37%,"1,29,783",0.63%,5,8.93,-0.01,-7.11%,N/A,Largest Flexi-Cap (1.3L Cr). 5-star. International exposure. Very low volatility.
6,Motilal Oswal Nasdaq 100 FoF - Direct Plan Growth,Motilal Oswal Mutual Fund,US Broad,145552,56.22,49.31,2025-12-12,26.60%,33.60%,20.32%,N/A,"5,882",0.22%,4,20.14,1.11,4.60%,N/A,US Nasdaq 100 exposure. Highest 1Y (26.6%) and 3Y (33.6%) returns. High volatility.
7,Quant Flexi Cap Fund - Growth Direct Plan,quant Mutual Fund,Flexi-Cap,120843,55.91,110.89,2025-12-12,-2.50%,16.60%,27.30%,20.07%,"6,890",0.68%,4,15.79,-0.33,11.08%,1.06,Highest alpha (11.08%). Strong 5Y and 10Y. Negative recent year.
8,Edelweiss Europe Dynamic Equity Offshore Fund - Direct,Edelweiss Mutual Fund,Europe,140296,52.52,30.10,2025-12-12,18.50%,22.80%,16.40%,N/A,225,1.49%,3,16.58,1.28,N/A,N/A,Europe exposure for geographic diversification. Highest Sharpe ratio (2.29).
9,HDFC Mid Cap Growth Direct Plan,HDFC Mutual Fund,Mid Cap,118989,52.19,222.00,N/A,3.89%,25.64%,26.14%,N/A,"94,257",0.74%,5,13.69,1.41,5.20%,0.85,5-star Direct plan version of HDFC Mid Cap. Strong 3Y/5Y.
10,Edelweiss Mid Cap Fund - Regular Plan Growth,Edelweiss Mutual Fund,Mid Cap,140225,51.70,104.38,2025-12-24,4.13%,26.39%,25.47%,N/A,"13,802",1.80%,N/A,15.34,1.31,4.64%,0.93,Strong mid-cap returns but limited data on AUM/expense.
11,Motilal Oswal Large and Midcap Fund - Regular Growth,Motilal Oswal Mutual Fund,Large+Mid,147701,49.63,33.65,2025-12-24,-3.54%,25.51%,23.27%,N/A,"15,017",1.69%,N/A,18.77,0.93,4.32%,1.21,High volatility (20.74%). Negative 1Y but strong 3Y/5Y.
12,Nippon India Small Cap Bonus Growth Direct Plan,Nippon India Mutual Fund,Small Cap,118777,46.33,184.30,N/A,-8.70%,21.25%,28.40%,N/A,"67,642",0.66%,5,16.75,0.93,3.50%,0.85,5-star small cap. 28.4% 5Y return. Currently in downturn (-8.7% 1Y).
13,SBI Contra Growth Direct Plan,SBI Mutual Fund,Contra,119835,46.24,430.47,N/A,2.03%,20.30%,24.89%,N/A,"49,112",0.71%,2,12.07,1.17,3.83%,0.93,Strong returns but only 2-star VR rating. Contra strategy.
14,Edelweiss US Technology Equity FoF - Direct Growth,Edelweiss Mutual Fund,US Tech,148063,42.75,34.94,2025-12-12,30.00%,36.40%,15.10%,N/A,"3,600",0.73%,3,30.62,0.49,N/A,N/A,US tech sector. Highest 3Y return (36.4%). Very high volatility (30.6%).
15,Nippon India US Equity Opportunities Fund - Direct Growth,Nippon India Mutual Fund,US Broad,134923,41.23,42.62,2025-12-12,15.00%,20.00%,16.00%,15.82%,"2,800",1.80%,3,18.08,0.25,N/A,N/A,US equity. 10Y data available (15.8%). High expense ratio (1.80%).
16,Kotak Small Cap Growth Direct Plan,Kotak Mutual Fund,Small Cap,120164,40.23,291.45,N/A,-11.53%,15.90%,22.37%,N/A,"16,368",0.55%,3,17.12,0.63,-1.31%,0.85,Small cap in deep drawdown (-11.5% 1Y). Good 5Y. Low expense.
17,ICICI Prudential Technology Fund - Growth,ICICI Prudential Mutual Fund,Sectoral/Thematic,100363,39.69,213.56,2025-12-24,-0.75%,17.18%,17.08%,17.76%,"13,572",1.01%,N/A,16.66,-0.78,5.79%,0.83,India tech sector. Good 10Y track record (17.8%).
18,Axis Mid Cap Growth Direct Plan,AXIS Mutual Fund,Mid Cap,120505,38.99,130.55,N/A,-1.13%,19.69%,19.41%,N/A,"31,977",0.57%,4,14.14,1.04,0.84%,0.83,4-star mid cap. Low expense (0.55%). Moderate returns.
19,Mirae Asset NYSE FANG+ ETF FoF Direct Growth,Mirae Asset Mutual Fund,US Tech,148928,37.35,37.40,2025-12-12,54.20%,64.51%,N/A,N/A,"2,463",0.07%,N/A,29.50,0.85,N/A,N/A,FANG+ stocks (Meta/Apple/Netflix/Google). 54% 1Y! Lowest expense (0.07%). Extreme volatility.
20,ICICI Pru US Bluechip Equity Fund - Direct Growth,ICICI Prudential Mutual Fund,US Broad,120186,34.64,81.82,2025-12-12,13.20%,18.90%,14.50%,16.28%,"3,357",2.00%,3,20.10,0.44,N/A,N/A,US blue chips. Good 10Y (16.3%). Very high expense ratio (2.0%).
21,Axis Global Innovation FoF - Direct Growth,Axis Mutual Fund,Global,148954,34.21,16.89,2025-12-12,22.00%,28.00%,N/A,N/A,"2,100",0.95%,4,21.76,0.59,N/A,N/A,Global innovation theme. Strong recent returns. No 5Y data yet.
22,ICICI Prudential Technology Growth Direct Plan,ICICI Prudential Mutual Fund,Sectoral-Tech,120594,31.58,232.59,N/A,-6.77%,16.62%,18.67%,N/A,"13,572",0.48%,N/A,18.53,0.26,5.79%,0.83,India banking/tech sector fund. Negative 1Y.
23,ICICI Pru Balanced Advantage Growth Direct Plan,ICICI Prudential Mutual Fund,Balanced Advantage,120377,21.02,86.23,N/A,10.45%,14.12%,13.54%,N/A,"71,151",0.86%,5,5.44,1.39,N/A,N/A,5-star. Very low volatility (5.4%). Conservative returns.
24,Axis Large Cap Growth Direct Plan,AXIS Mutual Fund,Large Cap,INF846K01D,11.53,70.91,N/A,2.66%,12.89%,11.69%,N/A,"32,437",0.72%,3,11.05,0.72,-0.77%,0.90,Lowest scorer. Below-average returns across all periods.
